Country Code,"Annual Inflation (21,22,23,24)",Effective Inflation Rate from Nov 2021 to Mar 2024,Country
SMR,"3.2, 7, 5.9, 2.5",14.614787538870821,San Marino
SEN,"3.8, 12.8, 4.2, 0.3",18.359088185534578,Senegal
SLE,"17.9, 37.1, 37.8, 21.7",103.95214838459528,Sierra Leone
SGP,"4, 6.5, 5.1, 3.2",13.5562750353029,Singapore
SVN,"4.9, 10.3, 4.8, 3.3",17.469320566360413,Slovenia
SLB,"3.5, 8.5, 4.4, 3.6",14.937099691234357,Solomon Islands
ZAF,"5.4, 7.4, 5.2, 4.5",15.240693272251349,South Africa
SSD,"2.4, -13, 45.6, 6.1",29.0702445783515,"South Sudan, Republic of"
KNA,"1.9, 3.9, 2.6, 2.3",7.545979847801121,Saint Kitts and Nevis
SDN,"318.2, 87.3, 238.3, 127.3",887.5375970053082,Sudan
NOR,"5.3, 5.9, 4.8, 3.2",12.827568499758723,Norway
OMN,"3.8, 1.9, -0.7, 1.7",2.247625144474008,Oman
PLW,"4.6, 13.7, 9.5, 1.8",25.998916095459947,Palau
PAN,"2.6, 2.1, 2.2, 2.2",5.365214422182918,Panama
PER,"6.4, 8.5, 4.2, 2.2",14.85514446973819,Peru
PRT,"2.8, 9.8, 3.3, 2.6",14.68017691969452,Portugal
COG,"1.5, 3.2, 3.5, 3.2",7.923903541933863,"Congo, Republic of "
RWA,"1.9, 21.6, 7.8, 5.5",33.268593635676844,Rwanda
WSM,"4.1, 10.8, 10.7, 4.5",24.846079472778726,Samoa
STP,"9.5, 25.2, 15.4, 7.2",49.25464433715847,São Tomé and Príncipe
SAU,"1.2, 2, 2.5, 2.2",5.3295381411579745,Saudi Arabia
SRB,"7.9, 15.1, 8.2, 4",27.36922120506855,Serbia
SYC,"7.9, 2.5, -1.1, 2.4",3.2758362523741757,Seychelles
MNG,"13.9, 13.2, 11.7, 12.8",33.16726969078585,Mongolia
MOZ,"6.7, 10.3, 6.7, 6.5",20.856887027631554,Mozambique
MMR,"7.3, 20.4, 11.1, 7.2",37.717520786710665,Myanmar
NRU,"3.2, 6.4, 5.8, 4.2",14.333678108517312,Nauru
NPL,"4.2, 8.1, 6.8, 6.5",18.089776800134526,Nepal
NZL,"5.9, 7.2, 2.8, 2.5",11.94847788691742,New Zealand
NIC,"7.2, 11.6, 7.6, 4.8",22.91340527397314,Nicaragua
MKD,"4.9, 18.7, 5.7, 2.3",27.191238457399148,North Macedonia 
PAK,"9.7, 21.3, 29.4, 17.5",65.96084922147192,Pakistan
PNG,"5.7, 3.4, 5.7, 4.7",11.582142058846468,Papua New Guinea
PRY,"6.8, 8.1, 4.1, 4",14.893810634074667,Paraguay
PHL,"3.1, 8.1, 3.6, 3.3",13.480256115039069,Philippines
POL,"8.6, 16.6, 7.4, 5.5",28.67304670021611,Poland
MWI,"11.5, 25.4, 29, 15.2",70.6591236377333,Malawi
MLI,"8.8, 7.8, 3, 2",13.164665590120773,Mali
MRT,"5.7, 11, 4, 4",17.659541260121813,Mauritania
MUS,"6.8, 12.2, 6.4, 7.8",22.98468993509779,Mauritius
FSM,"5.4, 6.9, 3.8, 3",12.769364592919175,"Micronesia, Fed. States of"
MDA,"13.9, 30.2, 5, 5",41.422408340081,Moldova
MNE,"4.7, 17.2, 5.1, 3.1",25.074691678443163,Montenegro
MAR,"3.2, 8.3, 4, 3.3",14.14761081550866,Morocco
NAM,"4.5, 6.9, 5.3, 5.3",14.868041814354882,Namibia
NLD,"6.4, 11.1, 1.4, 2.4",14.503107834899144,Netherlands
NER,"4.9, 3.1, 8.8, 2.5",13.770877657968118,Niger
NGA,"15.6, 21.3, 30.6, 15.4",68.20867984775005,Nigeria
JOR,"2.3, 4.4, 2.6, 2.6",8.21329935108186,Jordan
KAZ,"8.4, 20.3, 11.5, 7.5",38.43019303027941,Kazakhstan
KIR,"2.5, 16.2, -2, 4",15.472308829171077,Kiribati
KOR,"3.7, 5, 2.9, 2",9.240708835448054,"Korea, Republic of"
KWT,"4.2, 3.1, 0, 0",3.8093850700978704,Kuwait
KGZ,"11.2, 14.7, 10, 8",30.917038696681853,Kyrgyz Republic
LBN,"224.4, 122, 0, 0",170.1053058377855,Lebanon
LBY,"3.7, 4.1, 2.5, 2.5",8.015319350187422,Libya
MAC,"1, 0.8, 0.9, 1.7",2.3062498813601673,Macao SAR
MDG,"6.2, 10.8, 9.3, 8.6",24.873839382190344,Madagascar
MYS,"3.2, 3.8, 2.9, 2.7",8.089943224166763,Malaysia
MDV,"0.2, 3.3, 3.6, 2.4",7.691068583040206,Maldives
MLT,"2.6, 7.5, 4.7, 2.4",13.707216557138647,Malta
MHL,"2.2, 5.7, 3, 2.6",9.969994037312023,Marshall Islands
